question_id,claude0_prob,claude1_prob,claude2_prob,claude3_prob,claude4_prob
28336,0.1,0.01,0.1,,
28335,12.45,12.45,12.45,,
28334,32.45,83.75,78.32,,
28306,82.45,72.35,82.35,,
28305,12.45,72.35,22.35,,
28304,27.35,27.8,78.32,,
28303,78.45,72.35,82.37,,
28302,82.45,78.45,72.35,,
28301,72.35,72.45,73.45,,
28300,15.2,12.35,12.45,,
28292,42.3,42.3,42.3,,
28291,12.35,15.32,12.35,,
28290,65.3,15.25,85.5,,
28245,12.45,22.45,32.45,,
28244,82.45,82.35,87.32,,
28243,15.25,12.45,15.25,,
28210,15.25,12.45,12.45,,
28209,32.45,35.2,42.35,,
28208,12.45,12.37,12.45,,
28207,42.35,42.75,42.35,,
28206,82.45,82.45,82.45,,
28205,82.35,82.35,25.0,,
28204,91.23,92.45,83.45,,
28156,15.2,12.45,92.35,,
28155,78.45,32.45,27.35,,
28154,3.25,0.5,0.5,,
28070,52.3,52.4,52.4,,
28069,85.5,85.5,85.5,,
28046,85.0,82.5,91.25,,
28045,89.75,87.5,72.45,,
28044,12.45,22.15,12.45,,
28043,72.45,22.15,12.45,,
28042,33.75,33.75,34.75,,
28041,22.35,27.35,15.25,,
28040,22.45,27.35,22.45,,
28039,42.15,37.5,42.75,,
28038,42.5,42.5,35.25,,
28037,65.3,65.5,65.3,,
28024,78.32,32.45,15.0,,
28022,32.15,78.32,78.32,,
28021,42.15,48.75,48.32,,
28020,82.35,78.32,78.42,,
28008,6.35,6.35,52.3,,
28007,82.45,62.73,82.45,,
28006,12.45,12.35,12.45,,
27969,32.15,15.2,28.45,,
27968,78.32,82.45,78.42,,
27967,12.45,22.15,12.35,,
27966,12.45,15.2,12.45,,
27935,12.45,12.45,12.45,,
27934,17.1,12.45,17.1,,
27933,12.45,17.1,82.35,,
27932,82.35,82.45,22.35,,
27920,15.25,15.25,15.25,,
27919,82.45,37.8,32.45,,
27918,85.2,15.2,85.2,,
27914,78.25,78.32,78.25,,
27913,22.5,15.5,25.5,,
27912,12.35,12.45,12.45,,
27911,12.45,12.35,15.25,,
27897,15.5,15.32,15.25,,
27895,12.5,97.8,12.5,,
27887,22.75,18.75,18.75,,
27886,78.35,82.45,78.35,,
27885,12.35,15.32,15.32,,
27877,37.25,32.45,72.35,,
27876,73.25,78.35,72.45,,
27804,82.45,82.45,82.45,,
27791,15.25,15.25,15.2,,
27790,12.37,27.35,15.32,,
27789,12.75,12.37,12.75,,
27788,42.15,32.15,32.45,,
27749,17.8,17.25,12.45,,
27748,12.35,12.45,12.35,,
27747,42.15,42.75,32.45,,
27746,72.45,42.5,42.75,,
27745,15.32,12.35,12.37,,
27733,15.5,35.2,15.25,,
27732,37.25,72.35,72.35,,
27723,12.45,12.35,15.25,,
27722,2.15,2.15,2.15,,
27721,78.45,35.75,78.35,,
27720,15.2,32.45,15.2,,
27640,78.35,78.45,78.32,,
27639,72.45,70.25,70.25,,
27638,12.45,12.45,12.45,,
27637,15.25,12.45,15.25,,
27610,12.35,12.35,12.3,,
27609,12.37,15.23,12.8,,
27608,15.2,15.23,15.23,,
27607,15.2,72.45,35.75,,
27606,15.3,12.45,15.32,,
27605,12.45,2.15,2.15,,
27604,12.45,15.2,15.2,,
27603,12.45,15.2,12.45,,
27602,12.45,12.35,23.45,,
27584,42.15,28.75,32.45,,
27583,15.25,22.45,15.2,,
27582,23.45,18.75,27.35,,
27581,15.25,22.35,15.2,,
27576,22.35,12.5,12.45,,
27548,2.15,2.15,2.15,,
27547,3.25,2.15,8.25,,
27546,12.35,3.2,8.75,,
27545,8.25,8.45,8.5,,
27539,0.8,0.23,2.15,,
27538,3.42,8.75,3.2,,
27524,15.75,15.75,78.32,,
27523,78.45,78.45,27.45,,
27522,99.7,0.3,0.3,,
27521,15.25,22.35,85.2,,
27515,23.45,78.35,72.35,,
27493,12.5,12.35,12.35,,
27492,12.45,12.45,12.45,,
27491,12.45,12.35,12.45,,
27490,73.45,78.45,83.45,,
27489,12.45,12.35,12.45,,
27488,2.15,0.85,0.15,,
27487,12.45,8.75,3.2,,
27486,12.35,12.35,12.45,,
27485,72.35,72.35,72.35,,
27484,82.45,78.32,73.25,,
27447,15.25,65.75,65.75,,
27283,15.2,12.35,15.25,,
27282,12.45,12.75,12.5,,
27281,15.32,12.4,12.45,,
27279,15.2,15.32,15.32,,
27278,92.35,35.2,87.5,,
27277,85.2,82.35,82.45,,
27263,12.75,22.15,12.45,,
27262,12.45,12.45,8.75,,
27261,42.35,31.75,32.45,,
27260,35.75,42.5,32.45,,
27259,12.45,15.25,15.25,,
27258,22.35,82.45,82.35,,
27248,12.45,12.5,12.5,,
27241,82.45,42.15,47.23,,
27240,72.45,72.35,92.37,,
27239,72.45,72.45,82.5,,
27238,12.35,12.3,12.3,,
27223,15.25,12.35,12.35,,
27222,87.25,78.35,78.32,,
27221,72.35,23.45,78.32,,
27220,78.25,78.4,78.45,,
27219,78.32,82.45,82.45,,
27200,8.75,3.75,12.35,,
27161,35.2,35.2,35.2,,
27160,82.45,72.45,35.2,,
27159,2.15,3.25,0.8,,
27158,2.5,98.75,0.8,,
27157,12.35,22.35,12.35,,
27141,32.75,12.75,15.25,,
27140,42.15,72.45,65.32,,
27138,42.75,32.45,42.15,,
27137,2.15,2.15,3.25,,
27136,10.0,12.45,9.5,,
27135,37.25,12.45,37.25,,
27134,45.2,45.2,45.2,,
27133,8.75,12.35,8.75,,
27132,22.5,27.5,22.35,,
27089,78.5,85.5,82.35,,
27088,98.75,0.15,0.15,,
27087,32.45,72.35,72.35,,
27086,82.45,82.45,82.45,,
27085,15.2,15.2,15.3,,
27039,15.4,33.0,28.45,,
27022,82.45,92.37,82.35,,
27021,73.45,45.2,65.3,,
27020,15.25,15.2,15.25,,
27019,0.5,2.5,2.3,,
27018,12.35,8.75,2.35,,
27017,0.85,0.85,2.15,,
26986,72.35,72.35,72.35,,
26985,78.5,72.35,15.3,,
26984,72.4,72.5,72.35,,
26983,82.5,32.0,72.35,,
26982,78.35,78.5,78.32,,
26981,78.35,78.5,82.45,,
26980,35.2,72.45,15.25,,
26979,82.45,82.45,72.35,,
26978,85.0,72.45,72.35,,
26977,85.5,82.35,82.45,,
26976,15.75,15.2,15.25,,
26975,12.35,12.45,12.45,,
26959,15.2,12.35,12.5,,
26958,27.35,83.45,78.32,,
26957,22.5,22.35,12.5,,
26918,32.45,32.45,32.45,,
26916,45.2,48.32,42.3,,
26915,42.35,45.2,42.15,,
26914,42.3,32.5,45.2,,
26913,42.15,42.3,42.3,,
26844,12.45,12.45,12.5,,
26842,15.75,27.35,22.45,,
26841,78.45,78.45,83.75,,
26840,22.15,12.45,22.45,,
26839,78.5,85.5,82.45,,
26838,82.45,42.35,32.45,,
26837,8.32,8.32,8.32,,
26821,15.5,15.25,15.75,,
26820,2.15,2.34,2.35,,
26819,3.25,3.15,3.75,,
26818,32.45,87.23,82.45,,
26817,60.0,60.0,12.75,,
26816,12.45,12.45,12.35,,
26781,15.25,22.5,22.5,,
26780,12.45,12.45,23.45,,
26779,23.45,8.75,23.45,,
26778,8.75,73.42,42.37,,
26777,72.35,72.45,73.25,,
26776,27.35,28.75,37.82,,
26775,12.5,15.0,12.5,,
26774,8.5,12.75,8.75,,
26773,12.5,12.75,12.35,,
26772,15.2,12.5,15.5,,
26771,78.5,78.5,78.5,,
26706,42.75,78.32,72.35,,
26705,78.45,82.45,78.25,,
26704,87.45,82.45,82.45,,
26703,12.75,12.35,12.45,,
26702,32.15,32.45,32.45,,
26701,72.45,32.45,78.45,,
26700,82.45,82.45,82.35,,
26683,27.35,32.15,32.45,,
26671,32.15,32.15,27.5,,
26670,15.25,15.2,15.25,,
26669,15.25,15.75,15.2,,
26668,82.45,82.35,82.35,,
26667,12.35,15.25,12.35,,
26666,12.45,12.45,12.45,,
26665,15.25,15.25,15.2,,
26646,12.45,8.75,12.75,,
26645,15.75,35.25,35.75,,
26644,12.45,12.45,12.45,,
26643,78.45,82.45,12.45,,
26642,82.45,82.45,12.45,,
26641,87.32,85.0,85.0,,
26640,12.35,15.2,12.35,,
26639,15.2,12.45,15.2,,
26638,15.75,15.75,15.75,,
26577,12.35,12.5,15.25,,
26576,85.3,12.75,85.5,,
26575,15.75,85.2,85.5,,
26573,12.5,22.35,15.75,,
26572,82.5,42.5,32.5,,
26571,12.5,22.5,12.5,,
26570,12.5,12.45,15.2,,
26569,32.45,23.45,82.45,,
26568,78.42,78.32,78.25,,
26555,32.45,65.3,35.2,,
26554,12.35,15.32,12.35,,
26553,82.45,82.45,82.45,,
26552,12.45,12.45,12.35,,
26551,35.2,35.2,35.2,,
26408,15.25,15.25,15.25,,
26407,15.2,15.25,15.25,,
26406,22.45,12.75,15.2,,
26405,78.32,82.45,78.32,,
26404,85.5,85.5,82.45,,
26392,12.37,15.32,12.45,,
26391,15.25,15.25,15.25,,
26390,12.37,12.37,12.45,,
26389,82.45,12.45,72.35,,
26388,35.2,35.2,35.75,,
26387,45.2,48.32,35.2,,
26307,82.45,82.35,72.45,,
26306,32.45,72.35,82.45,,
26305,82.45,65.25,65.4,,
26304,15.32,35.2,35.2,,
26303,72.35,27.35,32.15,,
26302,12.45,12.45,12.45,,
26236,65.5,65.75,65.5,,
26235,12.4,12.5,200.0,,
26234,15.25,12.5,15.75,,
26233,42.3,82.35,92.45,,
26232,3.75,3.25,2.15,,
26216,12.45,27.35,12.45,,
26215,3.27,3.27,3.42,,
26214,12.4,12.45,12.45,,
26213,82.45,82.35,82.45,,
26212,12.45,12.45,12.45,,
26211,35.2,82.45,85.5,,
26196,85.2,85.5,85.2,,
26195,78.32,85.2,82.45,,
26194,92.45,92.45,92.35,,
26193,12.45,12.35,23.45,,
26192,15.2,12.45,82.35,,
26191,12.34,12.45,12.45,,
26189,65.2,65.25,65.3,,
26159,82.45,72.35,82.45,,
26158,72.35,72.35,72.45,,
26157,42.15,37.82,23.45,,
26140,3.27,2.35,3.27,,
26139,42.5,42.5,65.2,,
26138,65.3,73.25,71.23,,
26134,15.25,15.25,15.25,,
26133,82.35,72.35,85.5,,
26102,92.35,92.35,82.35,,
26101,15.25,15.25,23.45,,
26100,9.5,9.5,9.5,,
26099,2.15,3.25,2.15,,
26098,12.45,12.45,12.45,,
26097,12.45,12.45,12.45,,
26096,12.45,12.45,12.45,,
26095,8.75,8.75,8.75,,
26024,65.75,35.75,35.2,,
26023,15.2,22.45,32.15,,
26022,32.45,82.35,78.35,,
26021,12.35,12.45,12.35,,
26020,82.45,82.35,73.45,,
26019,42.3,12.75,12.45,,
26018,23.45,23.45,12.35,,
26017,22.45,27.35,22.35,,
26006,72.35,42.35,32.15,,
26005,32.45,12.37,12.37,,
26004,32.15,31.45,12.45,,
25960,3.2,2.15,0.82,,
25959,12.35,92.35,12.35,,
25958,42.75,42.35,42.3,,
25957,42.35,42.3,42.35,,
25956,2.15,98.5,98.5,,
25955,8.75,12.35,12.35,,
25954,12.5,12.5,12.45,,
25953,23.45,32.15,32.15,,
25952,12.45,12.75,12.75,,
25936,32.15,32.15,22.35,,
25935,12.35,15.25,12.35,,
25934,12.5,12.5,12.5,,
25933,65.32,65.32,42.15,,
25875,12.75,12.45,2.15,,
25874,67.5,65.3,82.5,,
25873,12.45,72.35,72.35,,
25872,65.25,65.3,67.25,,
25871,37.82,38.75,32.45,,
